iter	Passed	Remaining
0	0	902
1	1	803
2	2	777
3	3	772
4	3	765
5	4	757
6	5	755
7	5	743
8	6	741
9	7	735
10	8	724
11	8	731
12	9	739
13	10	733
14	11	736
15	12	740
16	12	747
17	13	751
18	15	775
19	15	775
20	16	767
21	17	758
22	17	755
23	18	755
24	19	754
25	20	754
26	20	750
27	21	755
28	22	750
29	23	746
30	23	742
31	24	735
32	24	730
33	25	727
34	26	723
35	26	721
36	27	716
37	28	713
38	28	713
39	29	709
40	30	707
41	30	705
42	31	702
43	32	697
44	32	697
45	33	699
46	34	697
47	35	696
48	35	694
49	36	696
50	37	697
51	38	697
52	38	694
53	39	693
54	40	694
55	41	692
56	41	692
57	42	692
58	43	690
59	44	690
60	44	691
61	45	692
62	46	692
63	47	694
64	48	692
65	49	693
66	49	691
67	50	691
68	51	691
69	51	688
70	52	687
71	53	688
72	54	686
73	54	686
74	55	684
75	56	683
76	56	681
77	57	681
78	58	680
79	59	681
80	60	681
81	60	681
82	61	676
83	61	674
84	62	672
85	63	673
86	64	672
87	64	671
88	65	670
89	66	669
90	66	667
91	67	665
92	68	667
93	69	668
94	70	668
95	70	667
96	71	666
97	72	668
98	74	674
99	75	675
100	75	675
101	76	675
102	77	675
103	78	674
104	79	675
105	80	676
106	81	678
107	82	679
108	83	680
109	84	683
110	85	683
111	86	684
112	87	685
113	88	687
114	89	688
115	90	688
116	91	688
117	92	688
118	92	686
119	93	686
120	94	685
121	95	684
122	95	683
123	96	681
124	97	681
125	97	679
126	98	677
127	99	675
128	99	674
129	100	673
130	101	672
131	102	671
132	102	671
133	103	670
134	104	670
135	105	671
136	106	672
137	107	672
138	108	672
139	109	673
140	110	673
141	111	672
142	112	672
143	112	671
144	113	671
145	114	671
146	115	671
147	116	671
148	117	671
149	118	671
150	119	669
151	119	669
152	120	668
153	121	668
154	122	667
155	123	666
156	123	665
157	124	664
158	125	665
159	126	665
160	127	664
161	128	664
162	129	663
163	130	663
164	130	662
165	131	662
166	132	661
167	133	659
168	133	658
169	134	658
170	135	658
171	136	657
172	137	657
173	138	656
174	139	656
175	140	656
176	141	656
177	142	656
178	143	656
179	143	654
180	144	653
181	145	652
182	146	652
183	146	651
184	147	650
185	148	649
186	149	648
187	149	647
188	150	646
189	151	646
190	152	645
191	153	645
192	154	644
193	155	644
194	156	644
195	157	644
196	157	643
197	158	642
198	159	642
199	160	640
200	161	640
201	161	639
202	162	638
203	163	637
204	164	636
205	165	636
206	166	637
207	167	637
208	168	636
209	169	635
210	170	635
211	170	634
212	171	633
213	172	632
214	173	632
215	174	631
216	174	631
217	175	630
218	176	629
219	177	628
220	178	627
221	178	627
222	179	626
223	180	626
224	181	626
225	182	625
226	183	625
227	184	625
228	185	624
229	186	623
230	187	622
231	188	622
232	188	621
233	189	621
234	190	620
235	191	620
236	192	619
237	193	619
238	194	618
239	195	617
240	195	617
241	196	616
242	197	616
243	198	615
244	199	614
245	200	613
246	200	612
247	201	611
248	202	610
249	203	610
250	204	610
251	205	609
252	205	608
253	206	607
254	207	605
255	208	604
256	208	604
257	209	603
258	210	602
259	211	602
260	212	601
261	213	601
262	214	600
263	215	600
264	215	598
265	216	597
266	217	596
267	217	594
268	218	594
269	219	593
270	220	592
271	221	591
272	221	590
273	222	589
274	223	588
275	224	588
276	225	587
277	225	586
278	226	586
279	227	585
280	228	584
281	229	584
282	230	583
283	231	583
284	232	582
285	232	581
286	233	580
287	234	579
288	235	579
289	236	578
290	236	576
291	237	576
292	238	574
293	239	574
294	240	573
295	241	573
296	242	573
297	242	571
298	243	571
299	244	570
300	245	569
301	246	569
302	247	568
303	247	567
304	248	566
305	249	566
306	250	565
307	251	564
308	252	563
309	252	562
310	253	562
311	254	561
312	255	561
313	256	560
314	257	560
315	258	559
316	259	559
317	260	558
318	261	557
319	262	556
320	262	556
321	263	555
322	264	554
323	265	553
324	266	552
325	267	552
326	267	551
327	268	550
328	269	549
329	270	549
330	271	548
331	272	548
332	273	547
333	274	547
334	275	546
335	276	545
336	276	544
337	277	543
338	278	542
339	279	541
340	279	541
341	280	540
342	281	539
343	282	538
344	283	537
345	283	536
346	284	535
347	285	534
348	286	533
349	286	532
350	287	532
351	288	531
352	289	530
353	290	529
354	291	528
355	292	528
356	292	527
357	293	526
358	294	525
359	294	524
360	295	523
361	296	522
362	297	521
363	298	520
364	298	519
365	299	519
366	300	518
367	301	517
368	302	517
369	303	515
370	303	514
371	304	513
372	305	512
373	305	511
374	306	511
375	307	510
376	308	509
377	309	509
378	310	508
379	311	507
380	312	506
381	313	506
382	314	506
383	315	505
384	315	504
385	316	503
386	317	503
387	318	502
388	319	501
389	320	500
390	321	499
391	321	499
392	322	498
393	323	497
394	324	497
395	325	496
396	326	495
397	327	494
398	327	493
399	328	492
400	329	491
401	330	491
402	331	490
403	331	489
404	332	489
405	333	488
406	334	487
407	335	486
408	336	485
409	336	484
410	337	483
411	338	483
412	339	482
413	340	481
414	341	481
415	342	480
416	343	479
417	344	478
418	344	478
419	345	477
420	346	476
421	347	476
422	348	475
423	349	474
424	350	473
425	350	472
426	351	472
427	352	471
428	353	470
429	354	469
430	354	468
431	355	467
432	356	466
433	357	465
434	358	465
435	358	464
436	359	463
437	360	462
438	361	462
439	362	461
440	363	460
441	364	460
442	365	459
443	365	458
444	366	457
445	367	456
446	368	455
447	368	454
448	369	453
449	370	453
450	371	452
451	372	451
452	372	450
453	373	449
454	374	448
455	375	447
456	376	447
457	377	446
458	378	445
459	379	445
460	379	444
461	380	443
462	381	442
463	382	441
464	383	441
465	384	440
466	385	439
467	386	438
468	386	437
469	387	437
470	388	436
471	389	435
472	389	434
473	390	433
474	391	433
475	392	432
476	393	431
477	394	430
478	394	429
479	395	428
480	396	427
481	397	427
482	398	426
483	399	425
484	399	424
485	400	423
486	401	422
487	402	422
488	403	421
489	404	420
490	405	419
491	406	419
492	407	418
493	408	417
494	408	417
495	409	416
496	410	415
497	411	414
498	412	413
499	412	412
500	413	411
501	414	410
502	414	410
503	415	409
504	416	408
505	417	407
506	418	407
507	419	406
508	420	405
509	420	404
510	421	403
511	422	402
512	423	401
513	423	400
514	424	400
515	425	399
516	426	398
517	427	397
518	428	396
519	429	396
